transaction_id,timestamp,user_id,amount,payment_method,bank,card_network,location,device_type,device_age_days,account_age_days,previous_txn_count,txn_velocity_1h,avg_amount_7d,amount_deviation,latency_ms,retry_count,ip_risk_score,device_risk_score,location_risk_score,bank_risk_score,amount_risk_score,scenario,actual_risk,outcome
T510319,2026-08-01 00:00:34,U100102,1229.37,Netbanking,Punjab National Bank,NOT_CARD,Ahmedabad,desktop,898,2414,384,1,1856.09,-0.3377,188.7394584328224,0,0.0763,0.2493,0.1958,0.6597162760195867,0.5084,BANK_DRIFT,0.1962,LEGIT
T503258,2026-08-01 00:00:58,U100102,3238.85,UPI,Punjab National Bank,NOT_CARD,Ahmedabad,desktop,898,2414,384,0,1856.09,0.745,165.8,0,0.1759,0.1193,0.0764,0.2229,0.3762,NORMAL,0.0917,LEGIT
T504289,2026-08-01 00:03:04,U101151,366.49,UPI,State Bank of India,NOT_CARD,Delhi,mobile,1417,1514,243,0,166.89,1.196,3736.1581249622277,0,0.2609,0.2083,0.1007,0.2593,0.5779,LATENCY_ANOMALY,0.1208,LEGIT
T513826,2026-08-01 00:03:54,U100283,1617.49,Card,IDFC First Bank,Mastercard,Pune,mobile,1073,1472,254,0,1028.66,0.5724,161.5,0,0.3564,0.4342,0.084,0.2387,0.3884,NORMAL,0.1355,LEGIT
T527717,2026-08-01 00:06:46,U100861,349.35,Netbanking,IDFC First Bank,NOT_CARD,Mumbai,mobile,939,2783,461,0,245.2,0.4248,138.5,0,0.0569,0.1908,0.4084,0.2465,0.2512,NORMAL,0.0617,LEGIT
T507701,2026-08-01 00:06:53,U100297,2316.91,Card,Yes Bank,Visa,Delhi,mobile,716,1317,215,0,2422.11,-0.0434,141.5,0,0.1301,0.3066,0.1917,0.3947,0.1685,NORMAL,0.0777,LEGIT
T543347,2026-08-01 00:07:36,U100559,281.59,UPI,Yes Bank,NOT_CARD,Bengaluru,desktop,1118,2553,422,0,267.79,0.0515,118.6,0,0.2653,0.1806,0.0268,0.4791,0.2314,NORMAL,0.1037,LEGIT
T509564,2026-08-01 00:08:20,U100408,405.89,UPI,Bank of Baroda,NOT_CARD,Jaipur,mobile,1377,2803,463,1,318.9,0.2728,54.0,1,0.2574,0.0997,0.0944,0.0691,0.1682,NORMAL,0.1558,LEGIT
T516073,2026-08-01 00:09:32,U100610,160.65,UPI,IDFC First Bank,NOT_CARD,Delhi,desktop,1055,2501,388,1,291.87,-0.4496,317.9,1,0.1198,0.1338,0.1322,0.2033,0.2597,NORMAL,0.1219,LEGIT
T510614,2026-08-01 00:11:25,U101129,383.07,UPI,ICICI Bank,NOT_CARD,Hyderabad,mobile,1260,1947,334,1,291.39,0.3146,163.6,0,0.1996,0.1128,0.1874,0.1113,0.3358,NORMAL,0.2233,LEGIT
T502027,2026-08-01 00:12:01,U101211,2843.81,Card,IndusInd Bank,Mastercard,Mumbai,mobile,143,2346,384,1,2352.24,0.209,70.9,0,0.3915,0.1097,0.3561,0.2697,0.3285,NORMAL,0.1166,LEGIT
T521889,2026-08-01 00:12:28,U100805,587.76,Card,State Bank of India,Amex,Ahmedabad,mobile,935,2344,406,0,673.11,-0.1268,99.2,0,0.1116,0.101,0.1515,0.173,0.1444,NORMAL,0.0678,LEGIT
T532884,2026-08-01 00:13:21,U100498,1450.75,UPI,ICICI Bank,NOT_CARD,Bengaluru,desktop,475,2779,445,0,1694.99,-0.1441,77.5,0,0.1716,0.1704,0.2452,0.0828,0.1734,NORMAL,0.0403,LEGIT
T527698,2026-08-01 00:13:40,U100885,1185.07,UPI,Punjab National Bank,NOT_CARD,Kolkata,mobile,901,2204,387,0,692.42,0.7115,228.84883943755167,0,0.1557,0.1762,0.1301,0.7467829651115278,0.3847,BANK_DRIFT,0.0374,LEGIT
T549818,2026-08-01 00:14:13,U100729,936.35,Card,IndusInd Bank,Mastercard,Mumbai,desktop,818,1973,319,0,1905.2,-0.5085,143.1,0,0.2602,0.1815,0.1279,0.1171,0.289,NORMAL,0.0909,LEGIT
T500514,2026-08-01 00:15:19,U100794,1563.84,Card,HDFC Bank,Mastercard,Kolkata,mobile,1313,1294,190,0,1617.31,-0.0331,105.8,0,0.0917,0.3468,0.0159,0.0322,0.4015,NORMAL,0.0301,LEGIT
